,Class,Parent,Ancestor,Sibling
140,Studio couch,['Bed'],['Furniture'],['Infant bed']
141,Drum,['Musical instrument'],['Building'],"['Organ (Musical Instrument)', 'Banjo', 'Cello', 'French horn', 'Guitar', 'Harp', 'Harpsichord', 'Harmonica', 'Musical keyboard', 'Oboe', 'Piano', 'Saxophone', 'Trombone', 'Trumpet', 'Violin', 'Chime', 'Flute', 'Accordion', 'Maracas']"
142,Dessert,['Food'],[],"['Fast food', 'Waffle', 'Pancake', 'Burrito', 'Snack', 'Guacamole', 'Fruit', 'Egg (Food)', 'Baked goods', 'Mushroom', 'Pasta', 'Pizza', 'Seafood', 'Taco', 'Cooking spray', 'Vegetable', 'Honeycomb', 'Sandwich', 'Dairy Product', 'Sushi']"
143,Wine rack,['Furniture'],[],"['Chair', 'Cabinetry', 'Desk', 'Couch', 'Wardrobe', 'Nightstand', 'Bookcase', 'Bed', 'Filing cabinet', 'Table', 'Chest of drawers', 'Cupboard', 'Bench', 'Drawer', 'Stool', 'Shelf', 'Wall clock', 'Bathroom cabinet', 'Closet']"
144,Drink,[],[],"['Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Human body', 'Auto part', 'Coconut']"
145,Zucchini,['Squash (Plant)'],"['Vegetable', 'Food']",['Pumpkin']
146,Ladle,['Kitchen utensil'],"['Kitchenware', 'Tool', 'Building']","['Chopsticks', 'Spatula', 'Can opener', 'Cutting board', 'Whisk', 'Drinking straw', 'Knife', 'Bottle opener', 'Measuring cup', 'Pizza cutter', 'Spoon', 'Fork']"
147,Human mouth,['Human body'],['Person'],"['Human eye', 'Skull', 'Human head', 'Human face', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human body', 'Auto part', 'Coconut']"
148,Dairy Product,['Food'],[],"['Fast food', 'Waffle', 'Pancake', 'Burrito', 'Snack', 'Dessert', 'Guacamole', 'Fruit', 'Egg (Food)', 'Baked goods', 'Mushroom', 'Pasta', 'Pizza', 'Seafood', 'Taco', 'Cooking spray', 'Vegetable', 'Honeycomb', 'Sandwich', 'Sushi']"
149,Dice,['Toy'],[],"['Doll', 'Balloon', 'Flying disc', 'Kite', 'Teddy bear']"
150,Oven,"['Home appliance', 'Kitchen appliance']",['Kitchenware'],"['Washing machine', 'Toaster', 'Blender', 'Gas stove', 'Mechanical fan', 'Heater', 'Kettle', 'Hair dryer', 'Refrigerator', 'Wood-burning stove', 'Humidifier', 'Mixer', 'Coffeemaker', 'Microwave oven', 'Dishwasher', 'Sewing machine', 'Hand dryer', 'Ceiling fan', 'Slow cooker', 'Food processor', 'Waffle iron', 'Pressure cooker']"
151,Dinosaur,['Reptile'],['Animal'],"['Lizard', 'Snake', 'Turtle', 'Crocodile', 'Frog']"
152,Ratchet (Device),['Tool'],['Building'],"['Container', 'Ladder', 'Toothbrush', 'Screwdriver', 'Drill (Tool)', 'Chainsaw', 'Wrench', 'Flashlight', 'Scissors', 'Kitchen utensil', 'Hammer', 'Scale', 'Snowplow', 'Nail (Construction)', 'Tripod', 'Torch', 'Chisel', 'Axe', 'Camera', 'Grinder', 'Ruler', 'Binoculars']"
153,Couch,['Furniture'],[],"['Chair', 'Cabinetry', 'Desk', 'Wine rack', 'Wardrobe', 'Nightstand', 'Bookcase', 'Bed', 'Filing cabinet', 'Table', 'Chest of drawers', 'Cupboard', 'Bench', 'Drawer', 'Stool', 'Shelf', 'Wall clock', 'Bathroom cabinet', 'Closet']"
154,Cricket ball,['Ball'],"['Sports equipment', 'Building']","['Football', 'Volleyball (Ball)', 'Tennis ball', 'Rugby ball']"
155,Winter melon,['Vegetable'],['Food'],"['Cucumber', 'Radish', 'Artichoke', 'Potato', 'Tomato', 'Garden Asparagus', 'Squash (Plant)', 'Cabbage', 'Carrot', 'Salad', 'Broccoli', 'Bell pepper']"
156,Spatula,['Kitchen utensil'],"['Kitchenware', 'Tool', 'Building']","['Chopsticks', 'Ladle', 'Can opener', 'Cutting board', 'Whisk', 'Drinking straw', 'Knife', 'Bottle opener', 'Measuring cup', 'Pizza cutter', 'Spoon', 'Fork']"
157,Whiteboard,['Office supplies'],[],"['Scissors', 'Poster', 'Calculator', 'Box', 'Stapler', 'Pencil sharpener', 'Eraser', 'Fax', 'Adhesive tape', 'Ring binder', 'Pencil case', 'Plastic bag', 'Paper cutter', 'Toilet paper', 'Envelope', 'Pen']"
158,Pencil sharpener,['Office supplies'],[],"['Scissors', 'Poster', 'Calculator', 'Box', 'Stapler', 'Whiteboard', 'Eraser', 'Fax', 'Adhesive tape', 'Ring binder', 'Pencil case', 'Plastic bag', 'Paper cutter', 'Toilet paper', 'Envelope', 'Pen']"
159,Door,[],[],"['Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Drink', 'Bicycle wheel', 'Door handle', 'Window', 'Stairs', 'Porch', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Human body', 'Auto part', 'Coconut']"
160,Hat,"['Clothing', 'Fashion accessory']",['Clothing'],"['Shorts', 'Dress', 'Swimwear', 'Brassiere', 'Tiara', 'Shirt', 'Coat', 'Suit', 'Scarf', 'Skirt', 'Jacket', 'Fashion accessory', 'Swim cap', 'Trousers', 'Footwear', 'Sports uniform', 'Luggage and bags', 'Helmet', 'Glove', 'Belt', 'Sunglasses', 'Necklace', 'Sock', 'Earrings', 'Tie', 'Goggles', 'Handbag', 'Watch', 'Umbrella', 'Glasses', 'Crown']"
161,Shower,['Plumbing fixture'],[],"['Sink', 'Bidet', 'Tap', 'Bathtub', 'Toilet']"
162,Eraser,['Office supplies'],[],"['Scissors', 'Poster', 'Calculator', 'Box', 'Stapler', 'Whiteboard', 'Pencil sharpener', 'Fax', 'Adhesive tape', 'Ring binder', 'Pencil case', 'Plastic bag', 'Paper cutter', 'Toilet paper', 'Envelope', 'Pen']"
163,Fedora,['Hat'],"['Clothing', 'Fashion accessory']","['Cowboy hat', 'Sombrero', 'Sun hat']"
164,Guacamole,['Food'],[],"['Fast food', 'Waffle', 'Pancake', 'Burrito', 'Snack', 'Dessert', 'Fruit', 'Egg (Food)', 'Baked goods', 'Mushroom', 'Pasta', 'Pizza', 'Seafood', 'Taco', 'Cooking spray', 'Vegetable', 'Honeycomb', 'Sandwich', 'Dairy Product', 'Sushi']"
165,Dagger,['Weapon'],['Building'],"['Bow and arrow', 'Cannon', 'Knife', 'Rifle', 'Shotgun', 'Tank', 'Axe', 'Handgun', 'Sword', 'Missile', 'Bomb']"
166,Scarf,"['Clothing', 'Fashion accessory']",['Clothing'],"['Shorts', 'Dress', 'Swimwear', 'Brassiere', 'Tiara', 'Shirt', 'Coat', 'Suit', 'Hat', 'Skirt', 'Jacket', 'Fashion accessory', 'Swim cap', 'Trousers', 'Footwear', 'Sports uniform', 'Luggage and bags', 'Helmet', 'Glove', 'Belt', 'Sunglasses', 'Necklace', 'Sock', 'Earrings', 'Tie', 'Goggles', 'Handbag', 'Watch', 'Umbrella', 'Glasses', 'Crown']"
167,Dolphin,['Marine mammal'],"['Mammal', 'Animal']","['Whale', 'Sea lion', 'Harbor seal']"
168,Sombrero,['Hat'],"['Clothing', 'Fashion accessory']","['Cowboy hat', 'Fedora', 'Sun hat']"
169,Tin can,['Container'],"['Tool', 'Building']","['Barrel', 'Bottle', 'Picnic basket', 'Jug', 'Waste container', 'Beaker', 'Flowerpot']"
170,Mug,['Tableware'],['Kitchenware'],"['Chopsticks', 'Teapot', 'Coffee cup', 'Salt and pepper shakers', 'Mixing bowl', 'Saucer', 'Cocktail shaker', 'Bottle', 'Bowl', 'Plate', 'Pitcher (Container)', 'Kitchen knife', 'Jug', 'Platter', 'Wine glass', 'Spoon', 'Fork', 'Serving tray', 'Cake stand']"
171,Tap,['Plumbing fixture'],[],"['Sink', 'Bidet', 'Shower', 'Bathtub', 'Toilet']"
172,Harbor seal,['Marine mammal'],"['Mammal', 'Animal']","['Dolphin', 'Whale', 'Sea lion']"
173,Stretcher,['Medical equipment'],['Building'],"['Syringe', 'Stethoscope', 'Band-aid']"
174,Can opener,['Kitchen utensil'],"['Kitchenware', 'Tool', 'Building']","['Chopsticks', 'Ladle', 'Spatula', 'Cutting board', 'Whisk', 'Drinking straw', 'Knife', 'Bottle opener', 'Measuring cup', 'Pizza cutter', 'Spoon', 'Fork']"
175,Goggles,"['Fashion accessory', 'Personal care']",['Clothing'],"['Glove', 'Belt', 'Sunglasses', 'Tiara', 'Necklace', 'Sock', 'Earrings', 'Tie', 'Hat', 'Scarf', 'Handbag', 'Watch', 'Umbrella', 'Glasses', 'Crown', 'Toothbrush', 'Crutch', 'Cream', 'Diaper', 'Wheelchair']"
176,Human body,['Person'],[],"['Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Auto part', 'Coconut']"
177,Roller skates,"['Sports equipment', 'Footwear']","['Building', 'Clothing']","['Paddle', 'Ball', 'Bicycle', 'Surfboard', 'Bow and arrow', 'Hiking equipment', 'Flying disc', 'Baseball bat', 'Baseball glove', 'Punching bag', 'Golf ball', 'Personal flotation device', 'Scoreboard', 'Snowboard', 'Skateboard', 'Ski', 'Bowling equipment', 'Dumbbell', 'Stationary bicycle', 'Treadmill', 'Training bench', 'Indoor rower', 'Horizontal bar', 'Parachute', 'Racket', 'Balance beam', 'Helmet', 'Billiard table', 'Boot', 'High heels', 'Sandal']"
178,Coffee cup,['Tableware'],['Kitchenware'],"['Chopsticks', 'Teapot', 'Mug', 'Salt and pepper shakers', 'Mixing bowl', 'Saucer', 'Cocktail shaker', 'Bottle', 'Bowl', 'Plate', 'Pitcher (Container)', 'Kitchen knife', 'Jug', 'Platter', 'Wine glass', 'Spoon', 'Fork', 'Serving tray', 'Cake stand']"
179,Cutting board,['Kitchen utensil'],"['Kitchenware', 'Tool', 'Building']","['Chopsticks', 'Ladle', 'Spatula', 'Can opener', 'Whisk', 'Drinking straw', 'Knife', 'Bottle opener', 'Measuring cup', 'Pizza cutter', 'Spoon', 'Fork']"
180,Blender,"['Home appliance', 'Kitchen appliance']",['Kitchenware'],"['Washing machine', 'Toaster', 'Oven', 'Gas stove', 'Mechanical fan', 'Heater', 'Kettle', 'Hair dryer', 'Refrigerator', 'Wood-burning stove', 'Humidifier', 'Mixer', 'Coffeemaker', 'Microwave oven', 'Dishwasher', 'Sewing machine', 'Hand dryer', 'Ceiling fan', 'Slow cooker', 'Food processor', 'Waffle iron', 'Pressure cooker']"
181,Plumbing fixture,[],[],"['Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Human body', 'Auto part', 'Coconut']"
182,Stop sign,['Traffic sign'],[],[]
183,Office supplies,[],[],"['Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Human body', 'Auto part', 'Coconut']"
184,Volleyball (Ball),['Ball'],"['Sports equipment', 'Building']","['Football', 'Cricket ball', 'Tennis ball', 'Rugby ball']"
185,Vase,[],[],"['Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Human body', 'Auto part', 'Coconut']"
186,Slow cooker,['Kitchen appliance'],['Kitchenware'],"['Oven', 'Blender', 'Food processor', 'Refrigerator', 'Waffle iron', 'Mixer', 'Coffeemaker', 'Microwave oven', 'Pressure cooker', 'Dishwasher']"
187,Wardrobe,['Furniture'],[],"['Chair', 'Cabinetry', 'Desk', 'Wine rack', 'Couch', 'Nightstand', 'Bookcase', 'Bed', 'Filing cabinet', 'Table', 'Chest of drawers', 'Cupboard', 'Bench', 'Drawer', 'Stool', 'Shelf', 'Wall clock', 'Bathroom cabinet', 'Closet']"
188,Coffee,['Drink'],[],"['Beer', 'Cocktail', 'Juice', 'Tea', 'Wine']"
189,Whisk,['Kitchen utensil'],"['Kitchenware', 'Tool', 'Building']","['Chopsticks', 'Ladle', 'Spatula', 'Can opener', 'Cutting board', 'Drinking straw', 'Knife', 'Bottle opener', 'Measuring cup', 'Pizza cutter', 'Spoon', 'Fork']"
190,Paper towel,[],[],"['Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Human body', 'Auto part', 'Coconut']"
191,Personal care,[],[],"['Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Food', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Human body', 'Auto part', 'Coconut']"
192,Food,[],[],"['Coin', 'Flag', 'Light bulb', 'Toy', 'Home appliance', 'Plumbing fixture', 'Office supplies', 'Paper towel', 'Pillow', 'Kitchenware', 'Fireplace', 'Countertop', 'Book', 'Furniture', 'Dog bed', 'Cat furniture', 'Lantern', 'Clock', 'Vase', 'Window blind', 'Curtain', 'Mirror', 'Sculpture', 'Picture frame', 'Candle', 'Lamp', 'Bathroom accessory', 'Beehive', 'Tent', 'Parking meter', 'Traffic light', 'Billboard', 'Traffic sign', 'Fire hydrant', 'Fountain', 'Street light', 'Jacuzzi', 'Building', 'Swimming pool', 'Person', 'Plant', 'Vehicle', 'Clothing', 'Animal', 'Cosmetics', 'Personal care', 'Medical equipment', 'Musical instrument', 'Sports equipment', 'Tool', 'Weapon', 'Cassette deck', 'Headphones', 'Laptop', 'Computer keyboard', 'Printer', 'Computer mouse', 'Computer monitor', 'Power plugs and sockets', 'Light switch', 'Television', 'Telephone', 'Tablet computer', 'Microphone', 'Ipod', 'Remote control', 'Drink', 'Bicycle wheel', 'Door handle', 'Door', 'Window', 'Stairs', 'Porch', 'Human eye', 'Skull', 'Human head', 'Human face', 'Human mouth', 'Human ear', 'Human nose', 'Human hair', 'Human hand', 'Human foot', 'Human arm', 'Human leg', 'Human beard', 'Human body', 'Auto part', 'Coconut']"
193,Sun hat,['Hat'],"['Clothing', 'Fashion accessory']","['Cowboy hat', 'Fedora', 'Sombrero']"
194,Tree house,['Building'],[],"['Lighthouse', 'Skyscraper', 'Castle', 'Tower', 'House', 'Office building', 'Convenience store']"
195,Flying disc,"['Toy', 'Sports equipment']",['Building'],"['Doll', 'Balloon', 'Dice', 'Kite', 'Teddy bear', 'Paddle', 'Ball', 'Bicycle', 'Surfboard', 'Bow and arrow', 'Hiking equipment', 'Roller skates', 'Baseball bat', 'Baseball glove', 'Punching bag', 'Golf ball', 'Personal flotation device', 'Scoreboard', 'Snowboard', 'Skateboard', 'Ski', 'Bowling equipment', 'Dumbbell', 'Stationary bicycle', 'Treadmill', 'Training bench', 'Indoor rower', 'Horizontal bar', 'Parachute', 'Racket', 'Balance beam', 'Helmet', 'Billiard table']"
196,Skirt,['Clothing'],[],"['Shorts', 'Dress', 'Swimwear', 'Brassiere', 'Tiara', 'Shirt', 'Coat', 'Suit', 'Hat', 'Scarf', 'Jacket', 'Fashion accessory', 'Swim cap', 'Trousers', 'Footwear', 'Sports uniform', 'Luggage and bags', 'Helmet']"
197,Gas stove,['Home appliance'],[],"['Washing machine', 'Toaster', 'Oven', 'Blender', 'Mechanical fan', 'Heater', 'Kettle', 'Hair dryer', 'Refrigerator', 'Wood-burning stove', 'Humidifier', 'Mixer', 'Coffeemaker', 'Microwave oven', 'Dishwasher', 'Sewing machine', 'Hand dryer', 'Ceiling fan']"
198,Salt and pepper shakers,['Tableware'],['Kitchenware'],"['Chopsticks', 'Teapot', 'Mug', 'Coffee cup', 'Mixing bowl', 'Saucer', 'Cocktail shaker', 'Bottle', 'Bowl', 'Plate', 'Pitcher (Container)', 'Kitchen knife', 'Jug', 'Platter', 'Wine glass', 'Spoon', 'Fork', 'Serving tray', 'Cake stand']"
199,Mechanical fan,['Home appliance'],[],"['Washing machine', 'Toaster', 'Oven', 'Blender', 'Gas stove', 'Heater', 'Kettle', 'Hair dryer', 'Refrigerator', 'Wood-burning stove', 'Humidifier', 'Mixer', 'Coffeemaker', 'Microwave oven', 'Dishwasher', 'Sewing machine', 'Hand dryer', 'Ceiling fan']"
200,Face powder,['Cosmetics'],[],"['Hair spray', 'Lipstick', 'Perfume']"
201,Fax,['Office supplies'],[],"['Scissors', 'Poster', 'Calculator', 'Box', 'Stapler', 'Whiteboard', 'Pencil sharpener', 'Eraser', 'Adhesive tape', 'Ring binder', 'Pencil case', 'Plastic bag', 'Paper cutter', 'Toilet paper', 'Envelope', 'Pen']"
202,Fruit,['Food'],[],"['Fast food', 'Waffle', 'Pancake', 'Burrito', 'Snack', 'Dessert', 'Guacamole', 'Egg (Food)', 'Baked goods', 'Mushroom', 'Pasta', 'Pizza', 'Seafood', 'Taco', 'Cooking spray', 'Vegetable', 'Honeycomb', 'Sandwich', 'Dairy Product', 'Sushi']"
203,French fries,['Fast food'],['Food'],['Hot dog']
204,Nightstand,['Furniture'],[],"['Chair', 'Cabinetry', 'Desk', 'Wine rack', 'Couch', 'Wardrobe', 'Bookcase', 'Bed', 'Filing cabinet', 'Table', 'Chest of drawers', 'Cupboard', 'Bench', 'Drawer', 'Stool', 'Shelf', 'Wall clock', 'Bathroom cabinet', 'Closet']"
205,Barrel,['Container'],"['Tool', 'Building']","['Tin can', 'Bottle', 'Picnic basket', 'Jug', 'Waste container', 'Beaker', 'Flowerpot']"
206,Kite,['Toy'],[],"['Doll', 'Balloon', 'Dice', 'Flying disc', 'Teddy bear']"
207,Tart,['Pastry'],"['Baked goods', 'Food']","['Doughnut', 'Croissant']"
